Year,State,state_name,COC_count,Overall,Individuals,People in Families
2009,NH,New Hampshire,3,1645,891,754
2009,NJ,New Jersey,20,13169,5962,7207
2009,NM,New Mexico,2,3475,2343,1132
2009,NV,Nevada,3,11089,9394,1695
2009,NY,New York,32,61067,24557,36510
2009,OH,Ohio,9,12700,7774,4926
2009,OK,Oklahoma,8,4838,3227,1611
2009,OR,Oregon,8,17309,10443,6866
2009,PA,Pennsylvania,17,15096,7384,7712
2009,PR,Puerto Rico,2,4070,3730,340
2009,RI,Rhode Island,1,1607,1139,468
2009,SC,South Carolina,5,4473,3194,1279
2009,SD,South Dakota,1,731,445,286
2009,TN,Tennessee,10,10532,8048,2484
2009,TX,Texas,18,36761,22564,14197
2009,UT,Utah,3,3795,2242,1553
2009,VA,Virginia,22,8852,5066,3786
2009,VI,Virgin Islands,1,471,430,41
2009,VT,Vermont,2,1214,693,521
2009,WA,Washington,7,22782,12086,10696
2009,WI,Wisconsin,4,6525,3161,3364
2009,WV,West Virginia,4,1667,1101,566
2009,WY,Wyoming,1,515,340,175
2010,AK,Alaska,2,1863,1118,745
2010,AL,Alabama,8,6046,4553,1493
2010,AR,Arkansas,5,2762,2120,642
2010,AS,American Samoa,0, , , 
2010,AZ,Arizona,3,13711,9226,4485
2010,CA,California,43,123480,96940,26540
2010,CO,Colorado,3,15482,7574,7908
2010,CT,Connecticut,10,4316,2993,1323
2010,DC,District of Columbia,1,6539,4016,2523
2010,DE,Delaware,1,982,681,301
2010,FL,Florida,28,57551,35738,21813
2010,GA,Georgia,7,19836,14377,5459
2010,GU,Guam,1,1635,534,1101
2010,HI,Hawaii,2,5834,2889,2945
2010,IA,Iowa,3,3014,1528,1486
2010,ID,Idaho,2,2346,1445,901
2010,IL,Illinois,21,14395,7568,6827
2010,IN,Indiana,3,6452,3588,2864
2010,KS,Kansas,5,2024,1318,706
2010,KY,Kentucky,3,6623,4125,2498
2010,LA,Louisiana,9,12482,10101,2381
2010,MA,Massachusetts,20,16646,6403,10243
2010,MD,Maryland,16,10845,5999,4846
2010,ME,Maine,3,2379,1061,1318
2010,MI,Michigan,21,13058,7365,5693
2010,MN,Minnesota,11,7869,3605,4264
2010,MO,Missouri,8,8122,4427,3695
2010,MP,Northern Mariana Islands,0, , , 
2010,MS,Mississippi,3,2743,1924,819
2010,MT,Montana,1,1615,890,725
2010,NC,North Carolina,12,12191,8361,3830
2010,ND,North Dakota,1,799,539,260
2010,NE,Nebraska,7,3877,2423,1454
2010,NH,New Hampshire,3,1574,943,631
2010,NJ,New Jersey,20,13737,6520,7217
2010,NM,New Mexico,2,3475,2343,1132
2010,NV,Nevada,3,11205,9565,1640
2010,NY,New York,32,65606,26293,39313
2010,OH,Ohio,9,12569,7719,4850
2010,OK,Oklahoma,8,5229,3317,1912
2010,OR,Oregon,8,19492,10731,8761
2010,PA,Pennsylvania,17,14516,7191,7325
2010,PR,Puerto Rico,2,4149,3721,428
2010,RI,Rhode Island,1,1282,704,578
2010,SC,South Carolina,4,4473,3194,1279
2010,SD,South Dakota,1,731,445,286
2010,TN,Tennessee,10,10276,7623,2653
2010,TX,Texas,17,35121,24078,11043
2010,UT,Utah,3,3284,1926,1358
2010,VA,Virginia,22,9080,5338,3742
2010,VI,Virgin Islands,1,487,468,19
2010,VT,Vermont,2,1220,797,423
2010,WA,Washington,7,22878,11901,10977
2010,WI,Wisconsin,4,6333,3040,3293
2010,WV,West Virginia,4,2264,1527,737
2010,WY,Wyoming,1,579,327,252
2011,AK,Alaska,2,2128,1286,842
2011,AL,Alabama,8,5558,4325,1233
2011,AR,Arkansas,7,3424,2505,919
2011,AS,American Samoa,0, , , 
2011,AZ,Arizona,3,10504,6403,4101
2011,CA,California,42,125128,97964,27164
2011,CO,Colorado,3,15116,4546,10570
2011,CT,Connecticut,7,4456,3071,1385
2011,DC,District of Columbia,1,6546,3858,2688
2011,DE,Delaware,1,1035,663,372
2011,FL,Florida,28,56687,37584,19103
2011,GA,Georgia,7,20975,15975,5000
2011,GU,Guam,1,1745,279,1466
2011,HI,Hawaii,2,6188,3195,2993
2011,IA,Iowa,3,3134,1628,1506
2011,ID,Idaho,2,2199,1310,889
2011,IL,Illinois,20,14009,8173,5836
2011,IN,Indiana,3,6196,3789,2407
2011,KS,Kansas,5,2511,1425,1086
2011,KY,Kentucky,3,6034,3842,2192
2011,LA,Louisiana,9,9291,7941,1350
2011,MA,Massachusetts,20,16664,6344,10320
2011,MD,Maryland,16,10208,6353,3855
2011,ME,Maine,3,2447,1184,1263
2011,MI,Michigan,21,13185,7634,5551
2011,MN,Minnesota,10,7495,3410,4085
2011,MO,Missouri,8,8989,4657,4332
2011,MP,Northern Mariana Islands,0, , , 
2011,MS,Mississippi,3,2306,1825,481
2011,MT,Montana,1,1768,1094,674
2011,NC,North Carolina,12,12896,8303,4593
2011,ND,North Dakota,1,603,396,207
2011,NE,Nebraska,3,3548,2210,1338
2011,NH,New Hampshire,3,1469,820,649
2011,NJ,New Jersey,19,14137,6841,7296
2011,NM,New Mexico,2,3601,2246,1355
2011,NV,Nevada,3,9150,7973,1177
2011,NY,New York,32,63445,27338,36107
2011,OH,Ohio,9,13030,7812,5218
2011,OK,Oklahoma,8,4625,3236,1389
2011,OR,Oregon,7,17254,9445,7809
2011,PA,Pennsylvania,18,15096,7867,7229
2011,PR,Puerto Rico,2,2900,2346,554
2011,RI,Rhode Island,1,1070,652,418
2011,SC,South Carolina,4,5093,3505,1588
2011,SD,South Dakota,1,826,460,366
2011,TN,Tennessee,10,9113,6475,2638
2011,TX,Texas,16,36911,23577,13334
2011,UT,Utah,3,3130,1842,1288
2011,VA,Virginia,20,8816,5231,3585
2011,VI,Virgin Islands,1,532,450,82
2011,VT,Vermont,2,1144,637,507
2011,WA,Washington,7,20439,10868,9571
2011,WI,Wisconsin,4,5785,2838,2947
2011,WV,West Virginia,4,2211,1662,549
2011,WY,Wyoming,1,1038,320,718
2012,AK,Alaska,2,1913,1298,615
2012,AL,Alabama,8,5209,3825,1384
2012,AR,Arkansas,6,4214,3428,786
2012,AS,American Samoa,0, , , 
2012,AZ,Arizona,3,11302,6310,4992
2012,CA,California,42,120098,94888,25210
2012,CO,Colorado,3,16768,5101,11667
2012,CT,Connecticut,7,4209,2906,1303
2012,DC,District of Columbia,1,6954,3767,3187
2012,DE,Delaware,1,1008,611,397
2012,FL,Florida,28,55170,36771,18399
2012,GA,Georgia,7,20516,15363,5153
2012,GU,Guam,1,1301,255,1046
2012,HI,Hawaii,2,6246,3130,3116
2012,IA,Iowa,3,2928,1446,1482
2012,ID,Idaho,2,1968,1175,793
2012,IL,Illinois,20,14144,8269,5875
2012,IN,Indiana,3,6259,3316,2943
2012,KS,Kansas,5,2684,1526,1158
2012,KY,Kentucky,3,5230,3282,1948
2012,LA,Louisiana,9,7772,6322,1450
2012,MA,Massachusetts,19,17501,6289,11212
2012,MD,Maryland,16,9454,5727,3727
2012,ME,Maine,2,2393,1287,1106
2012,MI,Michigan,21,12592,7397,5195
2012,MN,Minnesota,10,7744,3540,4204
2012,MO,Missouri,8,10237,4855,5382
2012,MP,Northern Mariana Islands,0, , , 
2012,MS,Mississippi,3,2413,1794,619
2012,MT,Montana,1,1833,1166,667
2012,NC,North Carolina,12,13524,8480,5044
2012,ND,North Dakota,1,688,485,203
2012,NE,Nebraska,3,3789,2215,1574
2012,NH,New Hampshire,3,1496,832,664
2012,NJ,New Jersey,19,13025,6603,6422
2012,NM,New Mexico,2,3245,2136,1109
2012,NV,Nevada,3,8497,7493,1004
2012,NY,New York,31,69566,30133,39433
2012,OH,Ohio,9,13977,7855,6122
2012,OK,Oklahoma,8,5032,3454,1578
2012,OR,Oregon,7,15828,9788,6040
2012,PA,Pennsylvania,18,14736,7295,7441
2012,PR,Puerto Rico,2,3212,2494,718
2012,RI,Rhode Island,1,1277,788,489
2012,SC,South Carolina,4,4915,3327,1588
2012,SD,South Dakota,1,859,512,347
2012,TN,Tennessee,10,9426,6905,2521
2012,TX,Texas,14,34052,20743,13309
2012,UT,Utah,3,3527,2049,1478
2012,VA,Virginia,19,8424,5084,3340
2012,VI,Virgin Islands,1,484,438,46
2012,VT,Vermont,2,1160,653,507
2012,WA,Washington,7,20504,11273,9231
2012,WI,Wisconsin,4,6027,3033,2994
2012,WV,West Virginia,4,2410,1742,668
2012,WY,Wyoming,1,1813,1302,511
2013,AK,Alaska,2,1946,1362,584
2013,AL,Alabama,8,4689,3387,1302
2013,AR,Arkansas,6,3812,3174,638
2013,AS,American Samoa,0, , , 
2013,AZ,Arizona,3,10562,6510,4052
2013,CA,California,40,118552,93458,25094
2013,CO,Colorado,3,9754,4664,5090
2013,CT,Connecticut,6,4448,3101,1347
2013,DC,District of Columbia,1,6865,3696,3169
2013,DE,Delaware,1,946,575,371
2013,FL,Florida,28,47862,31359,16503
2013,GA,Georgia,9,16971,12880,4091
2013,GU,Guam,1,1271,296,975
2013,HI,Hawaii,2,6335,3355,2980
2013,IA,Iowa,3,3084,1524,1560
2013,ID,Idaho,2,1781,1084,697
2013,IL,Illinois,20,13425,7958,5467
2013,IN,Indiana,3,6096,3751,2345
2013,KS,Kansas,5,2693,1480,1213
2013,KY,Kentucky,3,5245,3302,1943
2013,LA,Louisiana,9,5226,3908,1318
2013,MA,Massachusetts,18,19029,6694,12335
2013,MD,Maryland,16,8205,5221,2984
2013,ME,Maine,2,3016,1563,1453
2013,MI,Michigan,21,11527,7236,4291
2013,MN,Minnesota,10,8214,3728,4486
2013,MO,Missouri,8,8581,4652,3929
2013,MP,Northern Mariana Islands,0, , , 
2013,MS,Mississippi,3,2403,1753,650
2013,MT,Montana,1,1878,1211,667
2013,NC,North Carolina,12,12168,7530,4638
2013,ND,North Dakota,1,2069,1230,839
2013,NE,Nebraska,3,3145,1892,1253
2013,NH,New Hampshire,3,1447,798,649
2013,NJ,New Jersey,17,12002,6093,5909
2013,NM,New Mexico,2,2819,1786,1033
2013,NV,Nevada,3,7039,6200,839
2013,NY,New York,30,77430,31235,46195
2013,OH,Ohio,9,12325,7611,4714
2013,OK,Oklahoma,8,4408,3179,1229
2013,OR,Oregon,7,13822,8994,4828
2013,PA,Pennsylvania,18,15086,7973,7113
2013,PR,Puerto Rico,2,4128,3470,658
2013,RI,Rhode Island,1,1384,862,522
2013,SC,South Carolina,4,6544,4736,1808
2013,SD,South Dakota,1,1094,557,537
2013,TN,Tennessee,10,9528,6909,2619
2013,TX,Texas,12,29615,20758,8857
2013,UT,Utah,3,3277,1959,1318
2013,VA,Virginia,16,7625,4532,3093
2013,VI,Virgin Islands,1,482,444,38
2013,VT,Vermont,2,1454,701,753
2013,WA,Washington,7,17760,10617,7143
2013,WI,Wisconsin,4,6104,3005,3099
2013,WV,West Virginia,4,2240,1544,696
2013,WY,Wyoming,1,953,677,276
2014,AK,Alaska,2,1784,1209,575
2014,AL,Alabama,8,4561,3115,1446
2014,AR,Arkansas,6,2936,2303,633
2014,AS,American Samoa,0, , , 
2014,AZ,Arizona,3,10495,6194,4301
2014,CA,California,40,113952,90765,23187
2014,CO,Colorado,3,10028,5573,4455
2014,CT,Connecticut,6,4450,3069,1381
2014,DC,District of Columbia,1,7748,3953,3795
2014,DE,Delaware,1,901,584,317
2014,FL,Florida,28,41542,28730,12812
2014,GA,Georgia,9,16521,12403,4118
2014,GU,Guam,1,1356,332,1024
2014,HI,Hawaii,2,6918,3750,3168
2014,IA,Iowa,3,3122,1544,1578
2014,ID,Idaho,2,2104,1234,870
2014,IL,Illinois,20,13107,7350,5757
2014,IN,Indiana,3,5971,3953,2018
2014,KS,Kansas,5,2783,1533,1250
2014,KY,Kentucky,3,5089,3352,1737
2014,LA,Louisiana,9,4606,3444,1162
2014,MA,Massachusetts,18,21237,6788,14449
2014,MD,Maryland,16,7856,4980,2876
2014,ME,Maine,2,2726,1348,1378
2014,MI,Michigan,21,12227,7535,4692
2014,MN,Minnesota,10,8377,3652,4725
2014,MO,Missouri,8,7282,4307,2975
2014,MP,Northern Mariana Islands,0, , , 
2014,MS,Mississippi,3,2226,1714,512
2014,MT,Montana,1,1745,1167,578
2014,NC,North Carolina,12,11491,7498,3993
2014,ND,North Dakota,1,1258,886,372
2014,NE,Nebraska,3,3026,1893,1133
2014,NH,New Hampshire,3,1376,795,581
2014,NJ,New Jersey,17,11671,6446,5225
2014,NM,New Mexico,2,2746,1804,942
2014,NV,Nevada,3,8582,7356,1226
2014,NY,New York,29,80590,32643,47947
2014,OH,Ohio,9,11823,7704,4119
2014,OK,Oklahoma,8,4191,2964,1227
2014,OR,Oregon,7,12164,7988,4176
2014,PA,Pennsylvania,18,15333,8359,6974
2014,PR,Puerto Rico,2,4132,3432,700
2014,RI,Rhode Island,1,1190,779,411
2014,SC,South Carolina,4,5057,3813,1244
2014,SD,South Dakota,1,885,490,395
2014,TN,Tennessee,10,9415,6800,2615
2014,TX,Texas,12,28495,19177,9318
2014,UT,Utah,3,3081,1729,1352
2014,VA,Virginia,16,7020,4234,2786
2014,VI,Virgin Islands,1,448,425,23
2014,VT,Vermont,2,1559,823,736
2014,WA,Washington,7,18442,11390,7052
2014,WI,Wisconsin,4,6055,2929,3126
2014,WV,West Virginia,4,2013,1488,525
2014,WY,Wyoming,1,757,463,294
2015,AK,Alaska,2,1956,1342,614
2015,AL,Alabama,8,3970,2868,1102
2015,AR,Arkansas,7,2560,1833,727
2015,AS,American Samoa,0, , , 
2015,AZ,Arizona,3,9896,6548,3348
2015,CA,California,43,115738,93156,22582
2015,CO,Colorado,3,9953,5729,4224
2015,CT,Connecticut,3,4047,2719,1328
2015,DC,District of Columbia,1,7298,3821,3477
2015,DE,Delaware,1,953,602,351
2015,FL,Florida,27,35900,26325,9575
2015,GA,Georgia,9,13790,9702,4088
2015,GU,Guam,1,1280,306,974
2015,HI,Hawaii,2,7620,4307,3313
2015,IA,Iowa,3,3081,1501,1580
2015,ID,Idaho,2,1966,1172,794
2015,IL,Illinois,20,13177,8152,5025
2015,IN,Indiana,3,5863,3914,1949
2015,KS,Kansas,5,2588,1466,1122
2015,KY,Kentucky,3,4538,3151,1387
2015,LA,Louisiana,9,4081,3217,864
2015,MA,Massachusetts,16,21135,6378,14757
2015,MD,Maryland,16,8390,5383,3007
2015,ME,Maine,2,2372,1219,1153
2015,MI,Michigan,21,10516,6546,3970
2015,MN,Minnesota,10,7546,3622,3924
2015,MO,Missouri,8,6482,3434,3048
2015,MP,Northern Mariana Islands,0, , , 
2015,MS,Mississippi,3,1983,1475,508
2015,MT,Montana,1,1709,1127,582
2015,NC,North Carolina,12,10685,7156,3529
2015,ND,North Dakota,1,1305,864,441
2015,NE,Nebraska,3,2744,1720,1024
2015,NH,New Hampshire,3,1445,778,667
2015,NJ,New Jersey,16,10098,6189,3909
2015,NM,New Mexico,2,2629,1666,963
2015,NV,Nevada,3,8743,7858,885
2015,NY,New York,27,88250,36135,52115
2015,OH,Ohio,9,11182,7565,3617
2015,OK,Oklahoma,8,3777,2781,996
2015,OR,Oregon,7,13226,9461,3765
2015,PA,Pennsylvania,16,15421,8605,6816
2015,PR,Puerto Rico,2,4518,3929,589
2015,RI,Rhode Island,1,1111,706,405
2015,SC,South Carolina,4,5354,3934,1420
2015,SD,South Dakota,1,1036,630,406
2015,TN,Tennessee,10,9123,6516,2607
2015,TX,Texas,11,23678,16265,7413
2015,UT,Utah,3,3025,1809,1216
2015,VA,Virginia,16,7001,4190,2811
2015,VI,Virgin Islands,1,337,308,29
2015,VT,Vermont,2,1523,910,613
2015,WA,Washington,7,19419,12526,6893
2015,WI,Wisconsin,4,6057,2992,3065
2015,WV,West Virginia,4,1835,1414,421
2015,WY,Wyoming,1,798,500,298
2016,AK,Alaska,2,1940,1527,413
2016,AL,Alabama,8,4111,3019,1092
2016,AR,Arkansas,7,2463,1838,625
2016,AS,American Samoa,0, , , 
2016,AZ,Arizona,3,9707,6659,3048
2016,CA,California,43,118142,97660,20482
2016,CO,Colorado,3,10550,6450,4100
2016,CT,Connecticut,2,3902,2570,1332
2016,DC,District of Columbia,1,8350,3683,4667
2016,DE,Delaware,1,1070,753,317
2016,FL,Florida,27,33559,24201,9358
2016,GA,Georgia,9,12909,9265,3644
2016,GU,Guam,1,1085,227,858
2016,HI,Hawaii,2,7921,4590,3331
2016,IA,Iowa,3,3064,1543,1521
2016,ID,Idaho,2,2247,1284,963
2016,IL,Illinois,20,11590,6986,4604
2016,IN,Indiana,3,5798,3824,1974
2016,KS,Kansas,5,2255,1228,1027
2016,KY,Kentucky,3,4237,2949,1288
2016,LA,Louisiana,9,3994,3176,818
2016,MA,Massachusetts,16,19608,6434,13174
2016,MD,Maryland,16,7689,4983,2706
2016,ME,Maine,2,2241,1321,920
2016,MI,Michigan,21,9316,5803,3513
2016,MN,Minnesota,10,7341,3669,3672
2016,MO,Missouri,8,6194,3810,2384
2016,MP,Northern Mariana Islands,0, , , 
2016,MS,Mississippi,3,1738,1299,439
2016,MT,Montana,1,1418,844,574
2016,NC,North Carolina,12,9559,6396,3163
2016,ND,North Dakota,1,923,662,261
2016,NE,Nebraska,3,2754,1880,874
2016,NH,New Hampshire,3,1366,827,539
2016,NJ,New Jersey,15,8895,5540,3355
2016,NM,New Mexico,2,2263,1556,707
2016,NV,Nevada,3,7398,6853,545
2016,NY,New York,26,86352,35315,51037
2016,OH,Ohio,9,10404,6946,3458
2016,OK,Oklahoma,8,4107,2997,1110
2016,OR,Oregon,7,13238,9379,3859
2016,PA,Pennsylvania,16,15339,8599,6740
2016,PR,Puerto Rico,2,4418,3799,619
2016,RI,Rhode Island,1,1160,859,301
2016,SC,South Carolina,4,5051,3758,1293
2016,SD,South Dakota,1,1072,548,524
2016,TN,Tennessee,10,8779,6652,2127
2016,TX,Texas,11,23122,15959,7163
2016,UT,Utah,3,2807,1828,979
2016,VA,Virginia,16,6268,3959,2309
2016,VI,Virgin Islands,1,341,308,33
2016,VT,Vermont,2,1117,655,462
2016,WA,Washington,7,20827,13900,6927
2016,WI,Wisconsin,4,5685,2886,2799
2016,WV,West Virginia,4,1387,1039,348
2016,WY,Wyoming,1,857,517,340
2017,AK,Alaska,2,1845,1354,491
2017,AL,Alabama,8,3793,2985,808
2017,AR,Arkansas,6,2467,2068,399
2017,AS,American Samoa,0, , , 
2017,AZ,Arizona,3,8947,6488,2459
2017,CA,California,43,131532,110260,21272
2017,CO,Colorado,3,10940,7571,3369
2017,CT,Connecticut,2,3388,2208,1180
2017,DC,District of Columbia,1,7473,3583,3890
2017,DE,Delaware,1,994,615,379
2017,FL,Florida,27,32190,22768,9422
2017,GA,Georgia,9,10174,7422,2752
2017,GU,Guam,1,852,215,637
2017,HI,Hawaii,2,7220,4535,2685
2017,IA,Iowa,3,2756,1500,1256
2017,ID,Idaho,2,2037,1309,728
2017,IL,Illinois,20,10798,6894,3904
2017,IN,Indiana,2,5438,3623,1815
2017,KS,Kansas,5,2287,1423,864
2017,KY,Kentucky,3,4025,3032,993
2017,LA,Louisiana,8,3305,2559,746
2017,MA,Massachusetts,15,17565,6267,11298
2017,MD,Maryland,16,7247,5077,2170
2017,ME,Maine,1,2280,1352,928
2017,MI,Michigan,21,9051,5628,3423
2017,MN,Minnesota,10,7668,3899,3769
2017,MO,Missouri,8,6037,3768,2269
2017,MP,Northern Mariana Islands,1,672,208,464
2017,MS,Mississippi,3,1472,1100,372
2017,MT,Montana,1,1529,987,542
2017,NC,North Carolina,12,8962,6044,2918
2017,ND,North Dakota,1,1089,832,257
2017,NE,Nebraska,3,2501,1698,803
2017,NH,New Hampshire,3,1456,776,680
2017,NJ,New Jersey,16,8536,5433,3103
2017,NM,New Mexico,2,2482,1865,617
2017,NV,Nevada,3,7833,7281,552
2017,NY,New York,26,89503,37390,52113
2017,OH,Ohio,9,10095,6688,3407
2017,OK,Oklahoma,8,4199,2824,1375
2017,OR,Oregon,7,13953,10434,3519
2017,PA,Pennsylvania,16,14138,8271,5867
2017,PR,Puerto Rico,2,3525,3141,384
2017,RI,Rhode Island,1,1180,802,378
2017,SC,South Carolina,4,3916,2896,1020
2017,SD,South Dakota,1,943,611,332
2017,TN,Tennessee,10,8309,6137,2172
2017,TX,Texas,11,23548,16708,6840
2017,UT,Utah,3,2852,1882,970
2017,VA,Virginia,16,6067,4028,2039
2017,VI,Virgin Islands,1,381,369,12
2017,VT,Vermont,2,1225,697,528
2017,WA,Washington,7,21112,14781,6331
2017,WI,Wisconsin,4,5027,2645,2382
2017,WV,West Virginia,4,1309,1032,277
2017,WY,Wyoming,1,873,622,251
2018,AK,Alaska,2,2016,1434,582
2018,AL,Alabama,8,3434,2570,864
2018,AR,Arkansas,7,2712,2280,432
2018,AS,American Samoa,0, , , 
2018,AZ,Arizona,3,9865,7259,2606
2018,CA,California,43,129972,109008,20964
2018,CO,Colorado,3,10857,7607,3250
2018,CT,Connecticut,2,3976,2280,1696
2018,DC,District of Columbia,1,6904,3770,3134
2018,DE,Delaware,1,1082,708,374
2018,FL,Florida,27,31030,21443,9587
2018,GA,Georgia,9,9499,6943,2556
2018,GU,Guam,1,854,209,645
2018,HI,Hawaii,2,6530,4131,2399
2018,IA,Iowa,3,2749,1711,1038
2018,ID,Idaho,2,2012,1297,715
2018,IL,Illinois,20,10643,6752,3891
2018,IN,Indiana,2,5258,3776,1482
2018,KS,Kansas,5,2216,1443,773
2018,KY,Kentucky,3,3688,2735,953
2018,LA,Louisiana,7,3059,2540,519
